pkt arrive time in UTC,Lable,Heartbeat,MACsrc,MACdst,APPID,GOOSElength,gocbRef,Timeallowedtolive,datset,goID,t,Dif_St,Dif_Sq,stNum,sqNum,istest?,num of data,data_Dec,data,I_CB1-66KV,I_CB2-66KV,I_CB3-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV,I_FDR1,I_FDR4,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4
1605056852.80432,0,1.00040,11,255,3,152,1131,2000,PIOC,131,1605056839,0,1,1,13,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056853.16737,0,1.00035,99,255,4,142,1231,2000,BFP,231,1605056840,0,1,1,12,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056853.39370,0,1.00018,32,255,2,147,1121,2000,PIOC,121,1605056837,0,1,1,15,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056853.42622,0,1.00031,23,255,1,147,1111,2000,PIOC,111,1605056836,0,1,1,16,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056853.80480,0,1.00048,11,255,3,152,1131,2000,PIOC,131,1605056839,0,1,1,14,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056854.16819,0,1.00082,99,255,4,142,1231,2000,BFP,231,1605056840,0,1,1,13,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056854.39488,0,1.00118,32,255,2,147,1121,2000,PIOC,121,1605056837,0,1,1,16,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056854.42717,0,1.00095,23,255,1,147,1111,2000,PIOC,111,1605056836,0,1,1,17,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056854.80574,0,1.00094,11,255,3,152,1131,2000,PIOC,131,1605056839,0,1,1,15,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056855.16889,0,1.00070,99,255,4,142,1231,2000,BFP,231,1605056840,0,1,1,14,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056855.39531,0,1.00043,32,255,2,147,1121,2000,PIOC,121,1605056837,0,1,1,17,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056855.42730,0,1.00013,23,255,1,147,1111,2000,PIOC,111,1605056836,0,1,1,18,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056855.80617,0,1.00043,11,255,3,152,1131,2000,PIOC,131,1605056839,0,1,1,16,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056856.16921,0,1.00032,99,255,4,142,1231,2000,BFP,231,1605056840,0,1,1,15,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056856.39587,0,1.00056,32,255,2,147,1121,2000,PIOC,121,1605056837,0,1,1,18,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056856.42782,0,1.00052,23,255,1,147,1111,2000,PIOC,111,1605056836,0,1,1,19,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056856.80677,0,1.00060,11,255,3,152,1131,2000,PIOC,131,1605056839,0,1,1,17,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056857.16942,0,1.00021,99,255,4,142,1231,2000,BFP,231,1605056840,0,1,1,16,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056857.39640,0,1.00053,32,255,2,147,1121,2000,PIOC,121,1605056837,0,1,1,19,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056857.42857,0,1.00075,23,255,1,147,1111,2000,PIOC,111,1605056836,0,1,1,20,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056857.80719,0,1.00042,11,255,3,152,1131,2000,PIOC,131,1605056839,0,1,1,18,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056858.16977,0,1.00035,99,255,4,142,1231,2000,BFP,231,1605056840,0,1,1,17,0,5,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056858.39689,0,1.00049,32,255,2,147,1121,2000,PIOC,121,1605056837,0,1,1,20,0,4,9,1001,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056858.42894,0,1.00037,23,255,1,147,1111,2000,PIOC,111,1605056836,0,1,1,21,0,4,5,101,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
1605056858.80764,0,1.00045,11,255,3,152,1131,2000,PIOC,131,1605056839,0,1,1,19,0,7,0,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1
